#Missouri counties 
 Adair, ADR
 Andrew, AND
 Atchison, ATC
 Audrain, AUD
 Barry, BAR
 Barton, BTN
 Bates, BAT
 Benton, BEN
 Bollinger, BOL
 Boone, BOO
 Buchanan, BUC
 Butler, BTR
 Caldwell, CWL
 Callaway, CAL
 Camden, CAM
 Cape Girardeau, CPG
 Carroll, CRL
 Carter, CAR
 Cass, CAS
 Cedar, CED
 Chariton, CHN
 Christian, CHR
 Clark, CLK
 Clay, CLA
 Clinton, CLN
 Cole, COL
 Cooper, COP
 Crawford, CRA
 Dade, DAD
 Dallas, DAL
 Daviess, DVS
 DeKalb, DEK
 Dent, DEN
 Douglas, DGL
 Dunklin, DUN
 Franklin, FRA
 Gasconade, GAS
 Gentry, GEN
 Greene, GRN
 Grundy, GRU
 Harrison, HAR
 Henry, HEN
 Hickory, HIC
 Holt, HLT
 Howard, HOW
 Howell, HWL
 Iron, IRN
 Jackson, JAC
 Jasper, JAS
 Jefferson, JEF
 Johnson, JON
 Knox, KNX
 Laclede, LAC
 Lafayette, LAF
 Lawrence, LAW
 Lewis, LEW
 Lincoln, LCN
 Linn, LIN
 Livingston, LIV
 Macon, MAC
 Madison, MAD
 Maries, MRE
 Marion, MAR
 McDonald, MCD
 Mercer, MER
 Miller, MIL
 Mississippi, MIS
 Moniteau, MNT
 Monroe, MON
 Montgomery, MGM
 Morgan, MOR
 New Madrid, NMD
 Newton, NWT
 Nodaway, NOD
 Oregon, ORE
 Osage, OSA
 Ozark, OZA
 Pemscott, PEM
 Perry, PER
 Pettis, PET
 Phelps, PHE
 Pike, PIK
 Platte, PLA
 Polk, POL
 Pulaski, PUL
 Putnam, PUT
 Ralls, RAL
 Randolph, RAN
 Ray, RAY
 Reynolds, REY
 Ripley, RIP
 Saline, SAL
 Schuyler, SCH
 Scotland, SCT
 Scott, SCO
 Shannon, SHA
 Shelby, SHL
 St. Charles, STC
 St. Clair, SCL
 St. Francois, STF
 St. Genevieve, STG
 St. Louis City, STL
 St. Louis County, SLC
 Stoddard, STD
 Stone, STN
 Sullivan, SUL
 Taney, TAN
 Texas, TEX
 Vernon, VRN
 Warren, WAR
 Washington, WAS
 Wayne, WAY
 Webster, WEB
 Worth, WOR
 Wright, WRT
#US States
Alabama , AL
Alaska , AK
Arizona , AZ
Arkansas , AR
California , CA
Colorado , CO
Connecticut , CT
Delaware , DE
Florida , FL
Georgia , GA
Hawaii , HI
Idaho , ID
Illinois , IL
Indiana , IN
Iowa , IA
Kansas , KS
Kentucky , KY
Louisiana , LA
Maine , ME
Maryland , MD
Massachusetts , MA
Michigan , MI
Minnesota , MN
Mississippi , MS
Missouri , MO
Montana , MT
Nebraska , NE
Nevada , NV
New Hampshire , NH
New Jersey , NJ
New Mexico , NM
New York , NY
North Carolina , NC
North Dakota , ND
Ohio , OH
Oklahoma , OK
Oregon , OR
Pennsylvania , PA
Rhode Island , RI
South Carolina , SC
South Dakota , SD
Tennessee , TN
Texas , TX
Utah , UT
Vermont , VT
Virginia , VA
Washington , WA
West Virginia , WV
Wisconsin , WI
Wyoming , WY
#US Commonwealth and Territories
American Samoa , AS
District of Columbia , DC
Federated States of Micronesia , FM
Guam , GU
Marshall Islands , MH
Northern Mariana Islands , MP
Palau , PW
Puerto Rico , PR
Virgin Islands , VI
Maritime, MAR
Newfoundland/Labrador, NL
Quebec, QC
Ontario,ON
Manitoba, MB
Saskatchewan, SK
Alberta, AB
British Columbia, BC
Northern Territories, NT
DX, DX 
